people,personas
LGBTQ+,LGBTQ+
Gay,Gay
Lesbians,Lesbianas
Transgender,Transgénero 
Queer,Queer
Bisexual,Bisexual
asexual,Asexual
intersex,Intersexual
fiction,Ficción 
Two-Spirit,dos espíritus 
men,Hombres
sex,Sexo
Sexual,Sexual
victims,Víctimas
Pronouns,Pronombres
Gender,Género 
survivors,Sobrevivientes
literature,Literatura
erotic,Erotico
films,Películas 
parents,Padres / madres
fandom,Fandom 
youth,Jóvenes / juventud
Aromantic,Aromántico
culture,Cultura
identity,Identidad
children,Hijos
partners,Parejas
Demisexual,Demisexual
art,Arte
Asian,Asiático
centers,Centro
family,Familia
Police,Policía
community,Comunidad
Non-binary,no-binario
rights,Derechos
Greyromantic,Grisromántico
Megasexual,Megasexual
HIV,VIH
AIDS,SIDA
women,Mujeres
research,Investigación / estudio
sexuality,Sexualidad
homophobia,Homofobia
discrimination,Discriminación 
coming out,Salir del closet
positive,Positivo
attitudes,Actitudes
orientation,Orientación
education,Educación 
authors,Autores
history,Historia
feminism,Feminismo
same-sex,Mismo sexo
marriage,Matrimonio
safe,Seguro
visibility,Visibilidad
masculinity,Masculinidad
couples,Parejas
Transgenderism,Transgenerismo
organizations,Organizaciones
workplace,Lugar de trabajo
relationships,Relaciones
heterosexual,Heterosexual
fathers,Padre
prostitutes,Prostituto
persecution,Persecución
older,Mayores
mothers,Madres
friendship,Amistad
public,Público
BDSM,BDSM
single,Soltero
girls,Niñas
boys,Niños
movements,Movimientos 
Transvestites,Travestis
Social,Social
masturbation,Masturbación
love,Amor
desire,Deseo
masculine,Masculino
crossdressing,Transvestirse
school,Escuela
feminine,Femenino
closeted,En el closet
mental,Mental
health,Salud
disorder,Trastorno
suicide,Suicidio
triangles,Triángulo
male,Hombre
abuse,Abuso
Unrequited,No correspondido
Intergenerational,Intergeneracional
Former,ex- / Anterior
domestic,Doméstico
partnership,Emparejamiento
murders,Asesinatos
porn,Pornografía
crime,Crimen
activism,Activismo
violence,Violencia
hate,Odiar
Drag,Drag
bullying,Acosar
rape,Violación
clubs,Club
war,Guerra
literary,Literarios
therapy,Terapia
studies,Estudios
groups,Groupo
